0	72
3	67
7	64
8	61
10	62
13	63
18	62
20	61
23	52
27	53
32	52
34	49
37	46
40	41
41	42
44	43
49	42
52	41
53	44
55	45
59	44
61	41
65	38
69	35
73	38
77	41
80	46
81	47
83	48
86	47
87	46
88	49
90	52
93	61
94	64
96	67
97	68
99	69
105	68
107	67
109	72
113	67
117	64
118	65
120	66
123	65
124	64
125	61
127	52
129	49
131	50
132	51
137	50
138	49
140	46
142	41
144	44
145	45
148	44
150	41
153	38
155	75
157	38
160	41
162	42
164	43
169	42
171	41
172	44
174	45
179	44
181	41
183	46
185	49
187	52
191	53
195	52
198	61
199	64
202	67
204	70
206	71
208	70
210	67
