0	52
2	61
3	64
6	67
9	72
11	67
13	64
14	61
17	52
20	53
25	52
27	49
29	50
31	51
36	50
38	49
39	46
41	47
43	48
46	47
47	46
50	41
52	44
55	45
57	44
59	41
60	42
63	43
69	42
71	41
73	44
75	45
77	44
79	41
82	38
87	35
91	38
93	75
95	39
99	75
101	38
103	41
105	42
108	43
112	42
114	41
116	46
118	49
119	50
122	51
127	50
128	49
130	52
134	53
140	52
143	61
144	62
147	63
151	62
152	61
153	64
154	65
158	66
160	65
161	64
164	67
166	72
169	67
171	68
174	69
178	68
179	67
181	70
184	71
187	70
188	67
191	64
193	61
195	52
197	49
198	46
201	41
