0	44
3	45
5	44
6	41
9	38
14	35
19	38
21	75
23	39
26	75
27	38
30	41
31	42
33	43
36	42
37	41
40	46
41	47
44	48
47	47
49	46
50	49
52	50
54	51
59	50
61	49
63	52
68	53
72	52
75	61
77	62
79	63
86	62
88	61
89	64
90	65
93	66
97	65
98	64
101	67
103	72
107	67
109	70
112	71
117	70
119	67
121	64
123	61
125	52
127	49
129	46
131	41
134	38
138	35
142	38
144	75
146	39
149	75
151	38
153	41
156	46
158	49
159	52
161	61
163	64
165	67
168	72
170	67
172	70
175	71
179	70
180	67
183	64
185	65
187	66
191	65
192	64
193	61
195	52
197	49
199	50
201	51
