0	42
3	43
4	42
7	41
10	38
14	35
19	38
24	35
27	41
28	44
30	45
32	44
34	41
36	46
38	49
41	50
44	51
46	50
48	49
49	52
59	61
61	62
63	63
67	62
69	61
70	64
73	67
75	70
77	71
79	70
81	67
83	68
85	69
87	67
91	72
95	67
97	64
98	61
100	52
101	49
103	50
105	51
109	50
111	49
112	46
114	41
116	42
118	43
122	42
124	41
126	38
130	35
135	38
141	38
143	41
145	44
147	45
150	44
151	41
153	46
155	49
157	50
159	51
163	50
165	49
167	52
169	61
171	64
172	65
174	66
176	65
179	64
182	67
186	72
189	72
192	67
198	64
199	61
200	62
203	63
