0	39	75
9	75	38
11	38	41
14	41	44
16	44	45
18	45	44
20	44	41
22	41	42
23	42	43
26	43	42
27	42	41
29	41	46
33	46	47
34	47	48
36	48	47
39	47	46
40	46	49
43	49	50
45	50	51
49	51	50
51	50	e49
52	49	52
54	52	53
60	53	52
63	52	61
66	61	62
68	62	63
71	63	62
75	62	61
76	61	64
77	64	65
78	65	66
82	66	65
85	65	64
86	64	67
89	67	68
91	68	69
95	69	68
98	68	67
99	67	72
101	72	67
104	67	70
106	70	71
109	71	70
112	70	67
113	67	64
117	64	65
118	65	66
121	66	65
125	65	64
127	64	61
128	61	62
131	62	63
135	63	62
138	62	61
140	61	52
143	52	53
146	53	52
151	52	49
153	49	50
154	50	51
158	51	50
163	50	49
164	49	46
166	46	47
167	47	48
169	48	47
172	47	46
174	46	41
176	41	44
179	44	45
181	45	44
183	44	41
185	41	38
187	38	35
192	35	38
197	38	75
198	75	39
201	39	75
204	75	38
205	38	41
208	41	42
209	42	43
213	43	42
217	42	41
218	41	46

