0	72
2	67
3	70
7	71
10	70
8	67
11	64
13	61
16	52
24	53
29	52
31	49
33	46
34	47
37	48
41	47
42	46
45	41
46	42
50	43
54	42
55	41
56	44
60	45
64	44
65	41
68	38
73	35
76	38
78	75
79	39
81	75
83	38
87	41
90	46
92	47
96	48
99	47
100	46
101	49
103	50
106	51
109	50
110	49
112	52
114	61
115	62
119	63
121	62
122	61
124	64
126	67
128	72
133	67
135	70
78	71
83	70
144	67
146	64
147	61
149	52
154	53
159	52
161	49
162	50
165	51
169	50
171	49
172	46
173	47
178	48
182	47
183	46
185	41
188	38
190	75
191	39
193	75
196	38
200	35
